code,time,price,vol,type,order_type,order_no
000584,93428000,6.43,70,2,1,788456
000584,93429880,6.43,1,2,1,791483
000584,93430300,6.43,5,2,1,792096
000584,93430470,6.43,1,2,1,792423
000584,93430470,6.43,1,2,1,792437
000584,93431110,6.41,1,2,1,793728
000584,93431140,6.41,1,2,1,793794
000584,93431190,6.41,1,2,1,793892
000584,93431200,6.41,1,2,1,793936
000584,93431350,6.41,1,2,1,794129
000584,93433220,6.43,64,2,1,796921
000584,93433500,6.44,2,2,1,797537
000584,93433550,6.44,131,2,1,797627
000584,93434040,6.41,1,2,1,798821
000584,93436180,6.44,6,2,1,802388
000584,93436250,6.45,1,2,1,802537
000584,93436850,6.44,8,2,1,803798
000584,93437200,6.45,30,2,2,804459
000584,93437270,6.78,12,2,2,804571
000584,93438060,6.5,24,2,2,805616
000584,93440180,6.44,1,2,2,809455
000584,93441460,6.44,5,2,2,811520
000584,93441600,6.5,4,2,2,811725
000584,93441620,6.45,12,2,1,811753
000584,93442300,6.48,10,2,2,812781
000584,93443790,6.47,5,2,2,815804
000584,93444280,6.47,20,2,2,816530
000584,93444990,6.45,6,2,2,817576
000584,93445130,6.47,10,2,2,817777
000584,93445650,6.47,3,2,1,818710
000584,93447190,6.45,148,2,2,821151
000584,93448260,6.44,1,2,2,822722
000584,93448680,6.47,10,2,2,823542
000584,93449660,6.45,34,2,1,825269
000584,93450010,6.41,1,2,1,825819
000584,93450330,6.45,23,2,2,826329
000584,93451330,6.44,1,2,2,827847
000584,93451690,6.37,20,2,1,828683
000584,93452020,6.47,45,2,2,829248
000584,93452410,6.47,5,2,2,829886
000584,93452690,6.45,5,2,2,830246
000584,93454310,6.99,5,2,2,832640
000584,93454310,6.43,13,2,2,832646
000584,93454410,6.44,53,2,2,832802
000584,93454470,6.44,1,2,2,832909
000584,93456370,6.45,58,2,1,836113
000584,93457870,6.44,4,2,2,838706
000584,93458070,6.47,50,2,2,839117
000584,93458530,6.45,20,2,1,839783
000584,93458990,6.44,50,2,2,840450
000584,93459450,6.48,17,2,2,841121
000584,93500190,6.67,8,2,2,842219
000584,93502080,6.47,26,2,2,845884
000584,93502490,6.47,5,2,2,846617
000584,93503350,6.8,3,2,2,847997
000584,93504200,6.55,13,2,2,849842
000584,93505280,6.6,10,2,2,851446
000584,93505380,6.48,10,2,2,851641
000584,93505460,6.44,10,2,2,851753
000584,93505680,6.4,30,2,1,852157
000584,93505930,6.41,3,2,1,852632
000584,93506660,6.46,116,2,2,854172
000584,93508830,6.43,36,2,1,857480
000584,93510010,6.45,100,2,2,860004
000584,93510140,6.45,15,2,2,860185
000584,93510180,6.54,10,2,2,860259
000584,93510660,6.8,40,2,2,861025
000584,93510890,6.5,5,2,2,861373
000584,93511340,6.44,20,2,2,862089
000584,93512750,6.83,219,2,2,864758
000584,93514270,6.44,6,2,1,867375
000584,93514830,6.45,175,2,1,868381
000584,93515390,6.43,1,2,1,869233
